person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
21,-1.3531523844445146,OWN,5.0,EDUCATION,B,-1.3688667532462009,0.031018633181397103,0,-0.6556963825285276,N,2
25,-1.3531523844445146,MORTGAGE,1.0,MEDICAL,C,-0.656309268973695,0.5666911334029352,1,3.767496283545646,N,3
23,0.004474655085318836,RENT,4.0,MEDICAL,C,4.014900905701621,1.2974351221444562,1,3.3910543545180576,N,2
24,-0.26510781609144596,RENT,8.0,MEDICAL,C,4.014900905701621,1.0001833301140068,1,3.5792753190318525,Y,4
21,-1.3458663717100074,OWN,2.0,VENTURE,A,-1.1313475918220322,-1.207530500278808,1,0.7559608513249322,N,2
26,0.28620048081959554,RENT,8.0,EDUCATION,B,4.014900905701621,0.4273543558886624,1,2.638170496462879,N,3
24,0.33127661293707983,RENT,5.0,MEDICAL,B,4.014900905701621,0.021729514680445216,1,2.5440600142059813,N,4
24,0.42949206459823625,RENT,8.0,PERSONAL,A,4.014900905701621,-0.6625688815563175,1,2.3558390496921864,N,2
21,-1.343437700798505,OWN,6.0,VENTURE,D,-1.2738590886765333,1.1457128532955811,1,-0.09103348898714368,N,3
22,0.478065482828284,RENT,6.0,VENTURE,B,4.014900905701621,-0.2074020750096927,1,2.261728567435289,N,4
21,-1.343437700798505,OWN,2.0,HOMEIMPROVEMENT,A,-0.8146553765898074,-0.7461709480648813,1,2.638170496462879,N,2
23,0.7209325739785225,RENT,2.0,VENTURE,A,4.014900905701621,-0.9722061649213687,1,1.8852866384077,N,2
26,1.0405456659322365,RENT,4.0,EDUCATION,E,4.014900905701621,2.275888937578018,1,1.4147342271232135,N,4
23,1.2066667562789997,RENT,2.0,EDUCATION,A,4.014900905701621,-0.9722061649213687,0,1.2265132626094186,N,4
23,10.557049765563182,MORTGAGE,7.0,DEBTCONSOLIDATION,B,3.223170367621059,-0.12070363566747803,0,-1.032138311556117,N,3
23,1.3281003018541189,RENT,0.0,EDUCATION,A,4.014900905701621,-0.9722061649213687,0,1.1324027803525214,N,4
23,0.6507682713452186,RENT,7.0,MEDICAL,F,4.014900905701621,2.851814284637013,1,1.4147342271232135,N,4
23,1.1580933380489518,RENT,8.0,DEBTCONSOLIDATION,D,4.014900905701621,2.232539717906911,1,1.320623744866316,N,4
24,-1.3240083335064858,MORTGAGE,8.0,EDUCATION,B,-1.2501071725341166,-0.01542695932336068,1,-0.09103348898714368,N,2
25,2.3602854392426327,RENT,2.0,VENTURE,A,4.014900905701621,-1.0991574511010398,0,0.47362940455424024,N,4
25,1.7409743568095246,RENT,9.0,PERSONAL,E,3.983231684178399,1.7742765385266348,0,0.7559608513249322,Y,2
22,-0.00766869947219309,RENT,4.0,EDUCATION,D,3.856554798085509,2.0250827380523257,1,3.29694387226116,N,4
24,-1.3196367258657817,OWN,0.0,PERSONAL,A,-1.2896936994381447,-1.1610849077740502,0,-0.27925445350093825,N,3
22,0.3566319372531647,RENT,3.0,PERSONAL,D,3.8486374927047033,1.0837853966225706,1,2.3558390496921864,Y,4
24,0.05902260375766241,RENT,8.0,HOMEIMPROVEMENT,C,3.6982086904693965,0.5078600495635757,1,3.014612425490468,N,3
21,-1.3191509916834812,MORTGAGE,3.0,VENTURE,E,-0.8027794185185989,2.074624703390734,1,2.3558390496921864,Y,3
23,-1.3191509916834812,OWN,0.0,PERSONAL,A,-1.305528310199756,-0.532521222542996,0,-0.37336493575783564,N,3
24,-0.00766869947219309,RENT,6.0,HOMEIMPROVEMENT,B,3.6190356366613403,-0.32506424268841183,1,3.1087229077473655,N,3
21,-1.3097034618377368,OTHER,5.0,EDUCATION,C,-0.8938284303978636,0.5574020149019838,1,1.6970656738939052,Y,2
21,-1.3065219029436688,OWN,5.0,MEDICAL,B,-1.2105206456300883,0.024825887514095663,1,0.003076993269753731,N,3
25,1.3281003018541189,RENT,2.0,VENTURE,A,3.539862582853284,-1.3685418876286344,0,0.9441818158387271,N,2
26,0.7209325739785225,RENT,7.0,HOMEIMPROVEMENT,C,3.3894337806179773,0.969219601777502,1,1.508844709380111,Y,3
25,5.845428197248555,RENT,2.0,DEBTCONSOLIDATION,C,2.312680248828413,0.8701356711006855,0,-0.8439173470423222,N,3
26,5.699707942558413,MORTGAGE,10.0,MEDICAL,C,-0.29211322145663643,0.7586662490892673,0,-1.314469758326809,N,4
21,-1.2948642825684573,OWN,5.0,EDUCATION,A,-1.1313475918220322,-1.0929647054337388,1,0.37951892229734285,N,4
22,-0.4205427544275986,RENT,1.0,EDUCATION,E,3.223170367621059,2.275888937578018,1,4.33215917708703,N,2
24,-0.031955408587216946,RENT,8.0,DEBTCONSOLIDATION,D,3.223170367621059,1.0837853966225706,1,2.826391460976673,Y,3
25,0.23519839167804543,RENT,4.0,HOMEIMPROVEMENT,D,3.223170367621059,1.8114330125304412,1,2.1676180851783924,Y,4
26,-0.07931449136151346,RENT,6.0,MEDICAL,E,3.223170367621059,2.152034024231997,1,2.261728567435289,N,2
24,-1.2948642825684573,OWN,4.0,VENTURE,B,-1.1313475918220322,0.510956422397226,1,0.37951892229734285,N,3
26,5.699707942558413,MORTGAGE,10.0,VENTURE,A,1.6397092914599352,-0.9783989105886699,0,-0.9380278292992196,N,4
23,5.699707942558413,OWN,1.0,EDUCATION,F,2.312680248828413,2.59171896661037,0,-0.8439173470423222,Y,2
26,5.699707942558413,OWN,9.0,HOMEIMPROVEMENT,B,0.056248215298810904,-0.20430570217604171,0,-1.314469758326809,N,4
26,5.699707942558413,MORTGAGE,0.0,EDUCATION,D,2.4314398295404973,1.3283988504809614,0,-0.8439173470423222,N,3
25,5.699707942558413,MORTGAGE,9.0,HOMEIMPROVEMENT,E,1.3230170762277103,1.6751926078498185,0,-1.032138311556117,N,3
26,0.37338976654253114,RENT,8.0,PERSONAL,A,3.223170367621059,-1.0991574511010398,1,1.8852866384077,N,3
22,0.02390402237733792,RENT,4.0,MEDICAL,B,3.223170367621059,0.510956422397226,1,1.9793971206645975,N,3
26,0.5758923471436,RENT,0.0,DEBTCONSOLIDATION,A,3.223170367621059,-1.3685418876286344,1,1.6029551916370084,N,3
23,0.308058519023117,RENT,7.0,DEBTCONSOLIDATION,F,3.223170367621059,2.34710551275198,1,1.9793971206645975,Y,3
23,0.648169593469911,RENT,6.0,PERSONAL,C,3.223170367621059,1.2974351221444562,1,1.508844709380111,Y,3
23,0.7695059922085702,RENT,7.0,VENTURE,B,3.223170367621059,-0.12070363566747803,1,1.320623744866316,N,2
25,1.3281003018541189,RENT,9.0,EDUCATION,A,3.223170367621059,-0.9722061649213687,0,0.7559608513249322,N,4
26,5.213973760257936,RENT,4.0,PERSONAL,C,0.056248215298810904,1.5234703390009439,0,-1.2203592760699116,Y,3
26,5.143639450660826,RENT,0.0,VENTURE,B,1.6397092914599352,0.13629530952551447,0,-0.9380278292992196,N,3
25,1.5223939747743096,RENT,9.0,PERSONAL,A,3.223170367621059,-1.1610849077740502,0,0.5677398868111376,N,4
21,1.5952541021193813,RENT,0.0,VENTURE,A,3.223170367621059,-1.5636133761486166,0,0.5677398868111376,N,4
22,5.092540214682816,OWN,6.0,VENTURE,B,0.37294043053103576,0.16725903786201946,0,-1.2203592760699116,N,2
25,3.8017016252192986,MORTGAGE,9.0,MEDICAL,D,2.4314398295404973,1.44296464532603,1,-0.6556963825285276,N,2
22,0.11376484610292617,RENT,6.0,EDUCATION,D,3.080658870766558,1.5327594575018952,1,2.3558390496921864,N,3
22,-1.2948642825684573,MORTGAGE,7.0,EDUCATION,D,-1.2896936994381447,1.176676581632086,0,-0.37336493575783564,Y,3
26,4.728239577957458,OWN,10.0,HOMEIMPROVEMENT,B,2.9064781523888343,-0.01542695932336068,0,-0.5615859002716304,N,3
25,4.703952868842435,MORTGAGE,9.0,HOMEIMPROVEMENT,D,1.6397092914599352,1.0466289226187648,0,-0.8439173470423222,Y,2
24,4.606806032382339,MORTGAGE,9.0,EDUCATION,A,-0.0070902277476340625,-1.2539760927835653,0,-1.2203592760699116,N,2
25,4.48537248680722,RENT,2.0,MEDICAL,C,2.4314398295404973,0.7586662490892673,0,-0.6556963825285276,N,4
21,-1.2948642825684573,OWN,6.0,EDUCATION,C,-1.052174538013976,0.7958227230930731,1,0.7559608513249322,Y,3
23,-0.00766869947219309,RENT,2.0,EDUCATION,A,2.9064781523888343,-0.9722061649213687,1,2.449949531949084,N,2
26,0.478065482828284,RENT,2.0,VENTURE,A,2.9064781523888343,-1.0991574511010398,1,1.508844709380111,N,3
26,-1.2948642825684573,OWN,2.0,EDUCATION,A,-0.5613016044040275,-1.0929647054337388,1,3.2028333900042627,N,3
22,0.5509256101733555,RENT,6.0,VENTURE,B,2.9064781523888343,-0.34983522535761596,1,1.4147342271232135,N,3
21,-1.2948642825684573,OWN,0.0,PERSONAL,C,-0.8621592088746411,0.7555698762556168,1,1.6970656738939052,Y,4
22,-1.2948642825684573,OWN,6.0,DEBTCONSOLIDATION,A,-0.7750688496857793,-1.207530500278808,1,2.1676180851783924,N,2
24,0.42958921143469636,RENT,0.0,VENTURE,D,2.9064781523888343,1.5327594575018952,1,1.6029551916370084,Y,4
24,4.48537248680722,RENT,2.0,EDUCATION,C,1.3230170762277103,0.6007512345730912,0,-0.9380278292992196,Y,3
25,0.8423661195536418,RENT,5.0,DEBTCONSOLIDATION,B,2.9064781523888343,0.510956422397226,0,1.0382922980956244,N,3
26,1.0852332107038802,RENT,10.0,EDUCATION,A,2.9064781523888343,-0.6625688815563175,0,0.7559608513249322,N,2
23,2.0858456262428633,RENT,7.0,DEBTCONSOLIDATION,B,2.9064781523888343,0.021729514680445216,0,0.19129795778354827,N,2
21,-1.2948642825684573,MORTGAGE,5.0,DEBTCONSOLIDATION,E,-1.012588011109948,1.436771899658729,1,0.9441818158387271,Y,3
22,0.11376484610292617,RENT,4.0,EDUCATION,C,2.827305098580778,0.6255222172422953,1,2.0735076029214947,Y,3
26,0.1914823152710025,RENT,5.0,VENTURE,D,2.7560493501535275,1.418193662656826,1,1.8852866384077,Y,2
24,0.42949206459823625,RENT,5.0,PERSONAL,C,2.748132044772722,0.7586662490892673,1,1.508844709380111,Y,2
23,-0.06838547225975272,RENT,7.0,MEDICAL,B,2.5897859371566097,0.20751188469947635,1,2.3558390496921864,N,2
23,1.3281003018541189,RENT,1.0,EDUCATION,B,2.5264474941101644,0.510956422397226,0,0.37951892229734285,N,3
24,-1.2861210672870487,OWN,2.0,MEDICAL,C,-1.2738590886765333,0.7834372317584714,0,-0.37336493575783564,N,3
22,-0.12910224504731235,RENT,0.0,VENTURE,B,2.5066542306581505,-0.01542695932336068,1,2.3558390496921864,N,3
25,4.096785140966838,MORTGAGE,3.0,MEDICAL,C,1.6397092914599352,1.0001833301140068,0,-0.749806864785425,Y,4
24,4.096785140966838,OWN,8.0,HOMEIMPROVEMENT,B,1.6397092914599352,-0.6687616272236184,0,-0.749806864785425,N,4
26,4.096785140966838,MORTGAGE,10.0,HOMEIMPROVEMENT,B,1.8930630636457149,0.35304140788105004,0,-0.749806864785425,N,3
25,3.7811550693079883,MORTGAGE,6.0,DEBTCONSOLIDATION,D,0.3571058197694245,1.0466289226187648,1,-1.1262487938130143,Y,3
26,4.060355077294303,MORTGAGE,0.0,MEDICAL,C,2.4314398295404973,0.969219601777502,0,-0.5615859002716304,Y,2
25,3.999638304506743,MORTGAGE,5.0,MEDICAL,C,4.014900905701621,0.9134848907717928,0,-0.18514397124404108,N,4
23,0.42949206459823625,RENT,7.0,EDUCATION,B,2.478943661825331,-0.01542695932336068,1,1.2265132626094186,N,3
25,-1.280292257099443,OWN,3.0,PERSONAL,C,-1.2501071725341166,0.7958227230930731,0,-0.27925445350093825,N,3
21,-0.5541196545602298,RENT,3.0,EDUCATION,C,2.4314398295404973,0.5233419137318284,1,3.955717248059441,Y,3
25,-1.275046327930598,OWN,0.0,DEBTCONSOLIDATION,C,-1.052174538013976,0.5666911334029352,1,0.5677398868111376,Y,4
24,-1.2715490418180344,MORTGAGE,1.0,HOMEIMPROVEMENT,B,-0.9492495680635029,-0.34983522535761596,1,1.0382922980956244,N,3
26,3.9024914680466476,MORTGAGE,4.0,HOMEIMPROVEMENT,B,1.6397092914599352,0.1393916823591649,0,-0.749806864785425,N,4
25,3.8782047589316235,MORTGAGE,0.0,HOMEIMPROVEMENT,E,3.223170367621059,2.7465376082928956,0,-0.37336493575783564,Y,2
26,3.5867642495513374,MORTGAGE,6.0,EDUCATION,B,4.014900905701621,-0.12070363566747803,1,-0.09103348898714368,N,2
24,-1.2715490418180344,MORTGAGE,0.0,DEBTCONSOLIDATION,B,-0.8146553765898074,0.24466835870328227,1,1.6970656738939052,N,4
23,-1.2706747202898936,OWN,0.0,DEBTCONSOLIDATION,C,-1.1471822025836436,0.7586662490892673,1,0.09718747552665087,Y,2
22,-0.5662630091177417,RENT,6.0,MEDICAL,D,2.4314398295404973,1.0992672607908234,1,4.049827730316339,Y,2
26,-0.4205427544275986,RENT,2.0,EDUCATION,B,2.4314398295404973,-0.43343729186617963,1,3.29694387226116,N,4
