person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
22,-0.13899555160935081,RENT,123.0,PERSONAL,D,4.023733812118584,1.624731633896324,1,3.932484954136401,Y,3
21,-1.3481883345912835,OWN,5.0,EDUCATION,B,-1.3590311282824632,0.041657527444416156,0,-0.6604071347241629,N,2
25,-1.3481883345912835,MORTGAGE,1.0,MEDICAL,C,-0.6466063567587952,0.6028702741988832,1,3.7450199709176024,N,3
23,0.02010876194090348,RENT,4.0,MEDICAL,C,4.023733812118584,1.368455292892839,1,3.370090004480006,N,2
24,-0.2515924504295308,RENT,8.0,MEDICAL,C,4.023733812118584,1.057030878508857,1,3.557554987698805,Y,4
21,-1.340845058581272,OWN,2.0,VENTURE,A,-1.1215562044412406,-1.255944199155509,1,0.7455802394168262,N,2
26,0.3040487676613573,RENT,8.0,EDUCATION,B,4.023733812118584,0.45689007995639186,1,2.6202300716048117,N,3
24,0.3494791685766299,RENT,5.0,MEDICAL,B,4.023733812118584,0.03192551449491635,1,2.5264975799954126,N,4
24,0.44846652919158814,RENT,8.0,PERSONAL,A,4.023733812118584,-0.6849994394515417,1,2.339032596776614,N,2
21,-1.3383972999112679,OWN,6.0,VENTURE,D,-1.2640411587459741,1.2094990813843483,1,-0.09801218506776727,N,3
22,0.4974217025916664,RENT,6.0,VENTURE,B,4.023733812118584,-0.20813080492606978,1,2.2453001051672143,N,4
21,-1.3383972999112679,OWN,2.0,HOMEIMPROVEMENT,A,-0.8049229726529437,-0.7725875559970365,1,2.6202300716048117,N,2
23,0.7421975695920576,RENT,2.0,VENTURE,A,4.023733812118584,-1.0093998711015228,1,1.8703701387296174,N,2
26,1.0643226105645724,RENT,4.0,EDUCATION,E,4.023733812118584,2.3935606569067795,1,1.4017076806826212,N,4
23,1.2317493035928402,RENT,2.0,EDUCATION,A,4.023733812118584,-1.0093998711015228,0,1.2142426974638225,N,4
23,10.655620183107903,MORTGAGE,7.0,DEBTCONSOLIDATION,B,3.2321507326478423,-0.11729868406407469,0,-1.03533710116176,N,3
23,1.3541372370930358,RENT,0.0,EDUCATION,A,4.023733812118584,-1.0093998711015228,0,1.1205102058544232,N,4
